gene	rho	p_val
CD79A	0.016806477401536266	0.30178560291646594
ACVR1	0.01673759511334386	0.3037715873574486
MAP3K14	-0.015925062304495228	0.3278520787918626
PALB2	0.015445388024827462	0.3426336905748714
ERF	-0.015386163910998901	0.3444878305539046
CD79B	-0.015368733656709226	0.34503473930213485
ERCC2	-0.015004405228233313	0.3565927729856034
DNAJB1	-0.014554708524309614	0.3711911378836403
MRE11	0.01444614924393807	0.3747700510913849
MALT1	-0.014254334549006898	0.38114558321940983
LATS1	0.014247441389531702	0.38137592995777786
BABAM1	0.014164146738687527	0.38416611042224763
POLD1	-0.01415393101533832	0.3845091712953342
DIS3	0.014136818432679695	0.38508425962190357
IRS2	-0.013569572822979836	0.40444347367114236
SDHB	0.013226739915450147	0.41642091569584977
PIM1	0.012777001129102033	0.43244644728873644
STAT5B	-0.012740423730272043	0.4337653195303556
RPTOR	-0.01246504646407346	0.44376894575942816
STK40	-0.012155223464427312	0.4551797299353205
SESN3	0.011718442569729877	0.47154334130309344
AURKB	-0.011701468808876913	0.4721857267507965
TMPRSS2	-0.011643387484710083	0.47438750227202686
E2F3	0.011547042730284295	0.4780521861933351
KDM6A	0.011126085713451708	0.49424418384023583
MSI2	-0.010990415280785662	0.49952450801570913
SDHAF2	-0.010947424199867948	0.5012039564639175
MUTYH	0.00960102476776143	0.5552768916145007
KLF4	-0.00930994618056493	0.5673306569540627
WT1	0.009244907200006184	0.5700409914407812
GRIN2A	-0.009157504774911548	0.5736929557875984
EIF4A2	0.008884245010897572	0.5851815792204542
TOP1	0.008371241758595107	0.6070334157118878
JUN	0.00826635077926776	0.6115458214004218
PTP4A1	-0.008119526613092379	0.6178869960533494
EGFL7	0.008027291416591285	0.6218851782720002
ASXL2	0.007989603765600026	0.6235220751286491
TBX3	-0.007981833216195885	0.6238598068877176
NSD3	0.007912484113536497	0.6268774241625359
SMARCD1	-0.007887496678706989	0.6279662480788285
PHOX2B	0.007877951015122288	0.6283824129445178
AKT2	-0.007760173075292852	0.6335268936165508
TAP1	-0.007661582633971219	0.6378469477539591
GPS2	-0.007358370875977601	0.6512098702841173
PTPN11	0.006896538882050585	0.6717792027341112
INPPL1	-0.006884389742078487	0.6723237247111478
PIK3C3	0.00685404113907149	0.6736846932741765
BTK	-0.006418892767165234	0.6933142972945286
KMT2A	-0.005852014484003485	0.7191963527638252
PIK3CA	-0.005604124827323387	0.7306183567301869
DAXX	-0.0055216054088626535	0.7344340338587274
STAT5A	-0.00536629942021832	0.7416330803747618
MSI1	0.0053080921663496506	0.7443370894692655
CTCF	0.0038414681478580364	0.8134256903181618
CHEK2	0.0035997068291543917	0.8249711545126288
MAP2K4	0.0033545590558047263	0.8367171029084883
MEF2B	-0.003261189922896013	0.8412005052459807
SDHA	0.0025176201253854806	0.8770774045801151
UPF1	-0.0024656219743930596	0.8795966538785486
ALOX12B	-0.002219147367786399	0.8915542146793232
YAP1	-0.001331510502964151	0.9348025803331257
SMAD2	0.0013152307608725981	0.9355979745652153
