term	p_rho	p_pval	c_rho	c_pval	rlipp
NEST:221	0.27945726032045143	1.0226512788426012e-68	0.2797986234727918	6.9092691464507e-69	0.9987799684355004
NEST:92	0.2960887822950979	2.685015402247686e-77	0.2966551710738207	1.337883396866746e-77	0.9980907503595078
NEST:97	0.16575268559388304	1.1313767991283832e-24	0.16628739284659905	7.990438099250525e-25	0.9967844390151136
NEST:79	0.48276493833903134	8.209924203028271e-220	0.48471366081308825	7.852100768852456e-222	0.9959796419379061
NEST:83	0.44405297594405935	2.6869666947216083e-182	0.44597943026425446	4.729166785019602e-184	0.9956803964724256
NEST:110	0.5299770396217202	1.2776949642203846e-272	0.5330478607619415	2.3681202003165447e-276	0.9942391267909191
NEST:58	0.5329087243510917	3.5021349016397916e-276	0.5370258530961625	3.035529071116817e-281	0.9923334626790612
NEST:47	0.44697503585049203	5.802431430287127e-185	0.4508567129642931	1.520449244208363e-188	0.9913904417918504
NEST:234	0.17862276726308704	1.8938729847278432e-28	0.18054988414509132	4.858065987873472e-29	0.9893264020017003
NEST:78	0.23889533988454908	3.651564460220648e-50	0.24155519506300913	2.7925350064570505e-51	0.988988623582423
NEST:53	0.28033180663818713	3.7407586210464614e-69	0.28365667648841614	7.9053681017729e-71	0.9882785418930029
NEST:102	0.5117506111015327	3.0484848609109046e-251	0.5200899584462371	7.320529166301215e-261	0.9839655674767919
NEST:19	0.2941701622691917	2.809694534321533e-76	0.2999751365875394	2.1841274430636718e-79	0.9806484817895776
