term	gene	pc1_corr	pc1_corr_pval	rank
NEST:277	PMS2	0.2013	0.0000	5
NEST:29	SOX17	-0.5741	0.0000	1
NEST:29	EPAS1	0.2176	0.0000	2
NEST:29	EGFL7	-0.1766	0.0000	3
NEST:3	RECQL4	-0.1730	0.0000	1
NEST:3	RAD52	0.1001	0.0000	2
NEST:3	MTOR	-0.0773	0.0000	3
NEST:3	TSC1	0.0731	0.0000	4
NEST:3	TRAF7	-0.0660	0.0000	5
NEST:3	KDM5C	-0.0651	0.0001	6
NEST:3	SOCS1	0.0615	0.0002	7
NEST:3	NKX3-1	-0.0578	0.0004	8
NEST:3	RECQL	-0.0546	0.0008	9
NEST:3	AMER1	-0.0539	0.0009	10
NEST:3	CIC	-0.0503	0.0020	11
NEST:3	SUZ12	-0.0484	0.0029	12
NEST:3	SOS1	-0.0390	0.0165	13
NEST:3	DNAJB1	0.0349	0.0320	14
NEST:3	RICTOR	-0.0320	0.0493	15
NEST:3	BABAM1	-0.0307	0.0592	16
NEST:3	ABL1	0.0266	0.1023	17
NEST:3	SHOC2	0.0265	0.1032	18
NEST:3	ERF	0.0185	0.2546	19
NEST:3	KRAS	0.0185	0.2550	20
NEST:3	AXIN2	-0.0159	0.3277	21
NEST:3	EPAS1	0.0147	0.3654	22
NEST:3	INHBA	-0.0089	0.5863	23
NEST:3	TSC2	-0.0075	0.6455	24
NEST:3	CRKL	-0.0073	0.6539	25
NEST:3	PIK3C3	-0.0060	0.7116	26
NEST:3	ACVR1	0.0046	0.7767	27
NEST:3	RPTOR	0.0039	0.8106	28
NEST:3	MUTYH	-0.0033	0.8417	29
NEST:3	TAP2	-0.0013	0.9364	30
NEST:30	RB1	-0.2969	0.0000	1
NEST:30	CCNE1	0.1892	0.0000	2
NEST:30	CDKN1B	0.1869	0.0000	3
NEST:30	CDKN1A	-0.0736	0.0000	4
NEST:30	KNSTRN	0.0462	0.0045	5
NEST:30	POLE	0.0152	0.3500	6
NEST:30	POLD1	0.0151	0.3525	7
NEST:30	TERT	0.0132	0.4173	8
NEST:32	TP53	-0.7666	0.0000	1
NEST:32	CCND1	-0.2592	0.0000	2
NEST:32	RIT1	0.1391	0.0000	3
NEST:32	AURKB	0.0761	0.0000	4
NEST:33	TERT	-0.5643	0.0000	1
NEST:33	SF3B1	-0.5160	0.0000	2
NEST:33	CDC73	-0.3748	0.0000	3
NEST:33	RHOA	-0.3224	0.0000	4
NEST:33	CHEK2	-0.2525	0.0000	5
NEST:33	HRAS	-0.2143	0.0000	6
NEST:34	RB1	-0.3101	0.0000	1
NEST:34	KDM5A	-0.1953	0.0000	2
NEST:34	PRDM1	0.1874	0.0000	3
NEST:34	DNMT3B	0.1825	0.0000	4
NEST:34	BARD1	-0.1772	0.0000	5
NEST:34	BRD4	-0.1595	0.0000	6
NEST:34	TERT	-0.0320	0.0489	7
NEST:34	DNMT3A	0.0128	0.4306	8
NEST:35	AGO2	-0.7115	0.0000	1
NEST:35	SF3B1	0.4271	0.0000	2
